U+FA44	梅	mumei
U+FA45	海	shuimei
U+FA46	渚	shuizhe
U+FA47	漢	shuijin
U+FA48	煮	zhehuo
U+FA49	爫	zhao
U+FA4A	琢	wangshi
U+FA4B	碑	shibei
U+FA4C	社	shitu
U+FA4D	祉	shizhi
U+FA4E	祈	shijin
U+FA4F	祐	shiyou
U+FA50	祖	shiqie
U+FA51	祝	shixiong
U+FA52	禍	shiguo
U+FA53	禎	shizhen
U+FA54	穀	kehe
U+FA55	突	xuequan
U+FA56	節	zhuji
U+FA57	練	sijian
U+FA58	縉	sijin
U+FA59	繁	minsi
U+FA5A	署	sizhe
U+FA5B	者	turi
U+FA5C	臭	ziquan
U+FA5D	艹	hengshu
U+FA5E	艹	shishi
U+FA5F	著	caozhe
U+FA60	褐	yihe
U+FA61	視	shijian
U+FA62	謁	yanhe
U+FA63	謹	yanjin
U+FA64	賓	gaibei
U+FA65	贈	beizeng
U+FA66	辶	zou
U+FA67	逸	zoutu
U+FA68	難	jinzhui
U+FA69	響	xiangyin
U+FA6A	頻	buye
U+FA6B	恵	hengxin
U+FA6C	𤋮	chenhuo
U+FA6D	舘	renguan
U+FA70	並	baya
U+FA71	况	erxiong
U+FA72	全	renwang
U+FA73	侀	rendao
U+FA74	充	hengyun
U+FA75	冀	beiyi
U+FA76	勇	yongli
U+FA77	勺	baodian
U+FA78	喝	koubi
U+FA79	啕	kouxie
U+FA7A	喙	koushi
U+FA7B	嗢	kouwen
U+FA7C	塚	tuzhong
U+FA7D	墳	tuben
U+FA7E	奄	dadian
U+FA7F	奔	dahui
U+FA80	婢	nvshi
U+FA81	嬨	nvci
U+FA82	廒	guangao
U+FA83	廙	guangyi
U+FA84	彩	bianshan
U+FA85	徭	renyao
U+FA86	惘	xinwang
U+FA87	慎	xinzhen
U+FA88	愈	yuxin
U+FA89	憎	xinzeng
U+FA8A	慠	xinao
U+FA8B	懲	zhengxin
U+FA8C	戴	zaiyi
U+FA8D	揄	shouyu
U+FA8E	搜	shousou
U+FA8F	摒	shouping
U+FA90	敖	fengwen
U+FA91	晴	riqing
U+FA92	朗	liangyue
U+FA93	望	wangren
U+FA94	杖	muzhang
U+FA95	歹	hengwen
U+FA96	殺	shashu
U+FA97	流	shuiliu
U+FA98	滛	shuiyao
U+FA99	滋	shuizi
U+FA9A	漢	shuijin
U+FA9B	瀞	shuijing
U+FA9C	煮	zhehuo
U+FA9D	瞧	muhuo
U+FA9E	爵	zhaocun
U+FA9F	犯	quansi
U+FAA0	猪	quanzhe
U+FAA1	瑱	wangzhen
U+FAA2	甆	ziwa
U+FAA3	画	hengkuang
U+FAA4	瘝	bingshui
U+FAA5	瘟	bingwen
U+FAA6	益	bamin
U+FAA7	盛	chengmin
U+FAA8	直	shiqie
U+FAA9	睊	muyuan
U+FAAA	着	yangmu
U+FAAB	磌	shizhen
U+FAAC	窱	xuetiao
U+FAAD	節	zhuji
U+FAAE	类	miquan
U+FAAF	絛	rensi
U+FAB0	練	sidong
U+FAB1	缾	foubing
U+FAB2	者	turi
U+FAB3	荒	caochuan
U+FAB4	華	caoshi
U+FAB5	蝹	chongwen
U+FAB6	襁	yiqiang
U+FAB7	覆	xifu
U+FAB8	視	shijian
U+FAB9	調	yanzhou
U+FABA	諸	yanzhe
U+FABB	請	yanqing
U+FABC	謁	yanbi
U+FABD	諾	yanruo
U+FABE	諭	yanyu
U+FABF	謹	yantu
U+FAC0	變	erwen
U+FAC1	贈	beizeng
U+FAC2	輸	cheyu
U+FAC3	遲	zouxi
U+FAC4	醙	yousou
U+FAC5	鉶	jinxing
U+FAC6	陼	erzhe
U+FAC7	難	caozhui
U+FAC8	靖	liqing
U+FAC9	韛	weiyong
U+FACA	響	xiangyin
U+FACB	頋	eye
U+FACC	頻	buye
U+FACD	鬒	biaozhen
U+FACE	龜	piecha
U+FACF	𢡊	xinxin
U+FAD0	𢡄	xinri
U+FAD1	𣏕	mushu
U+FAD2	㮝	muer
U+FAD3	䀘	mukai
U+FAD4	䀹	mujia
U+FAD5	𥉉	mutiao
U+FAD6	𥳐	zhukai
U+FAD7	𧻓	zoubing
U+FAD8	齃	bibi
U+FAD9	龎	changlong
