U+35F9	㗹	weixin
U+35FA	㗺	koufei
U+35FB	㗻	kouguo
U+35FC	㗼	kouye
U+35FD	㗽	xiangkou
U+35FE	㗾	kouxue
U+35FF	㗿	kouke
U+3600	㘀	koumi
U+3601	㘁	kouxing
U+3602	㘂	kouci
U+3603	㘃	koure
U+3604	㘄	koufang
U+3605	㘅	kouxian
U+3606	㘆	koutai
U+3607	㘇	kourong
U+3608	㘈	kouyi
U+3609	㘉	koujie
U+360A	㘊	kouyan
U+360B	㘋	kouxian
U+360C	㘌	kouju
U+360D	㘍	kouge
U+360E	㘎	kougan
U+360F	㘏	daochi
U+3610	㘐	koujiao
U+3611	㘑	kouli
U+3612	㘒	zhongchi
U+3613	㘓	koulan
U+3614	㘔	kousai
U+3615	㘕	koulan
U+3616	㘖	kouyan
U+3617	㘗	kouqu
U+3618	㘘	luankou
U+3619	㘙	kouyan
U+361A	㘚	kougan
U+361B	㘛	koulong
U+361C	㘜	yankou
U+361D	㘝	kouyou
U+361E	㘞	kouli
U+361F	㘟	koucao
U+3620	㘠	koubi
U+3621	㘡	koujia
U+3622	㘢	kouguang
U+3623	㘣	kouyuan
U+3624	㘤	kouyuan
U+3625	㘥	kouxi
U+3626	㘦	tuli
U+3627	㘧	tuyu
U+3628	㘨	tunei
U+3629	㘩	tubi
U+362A	㘪	tumao
U+362B	㘫	tujing
U+362C	㘬	tugou
U+362D	㘭	tuhuan
U+362E	㘮	tuchi
U+362F	㘯	tuli
U+3630	㘰	tudou
U+3631	㘱	turan
U+3632	㘲	tujiu
U+3633	㘳	beitu
U+3634	㘴	koutu
U+3635	㘵	tubu
U+3636	㘶	chuantu
U+3637	㘷	tuai
U+3638	㘸	situ
U+3639	㘹	citu
U+363A	㘺	tufa
U+363B	㘻	tuyin
U+363C	㘼	tukao
U+363D	㘽	zaitu
U+363E	㘾	tuyu
U+363F	㘿	tutu
U+3640	㙀	tujiu
U+3641	㙁	tumei
U+3642	㙂	tudui
U+3643	㙃	tubing
U+3644	㙄	tutu
U+3645	㙅	tudai
U+3646	㙆	tuhong
U+3647	㙇	tushi
U+3648	㙈	tuhu
U+3649	㙉	tudian
U+364A	㙊	tuchang
U+364B	㙋	tuqi
U+364C	㙌	tusu
U+364D	㙍	tuzhuo
U+364E	㙎	tuwei
U+364F	㙏	tufu
U+3650	㙐	tuduan
U+3651	㙑	yutu
U+3652	㙒	tiantu
U+3653	㙓	tutu
U+3654	㙔	tuwei
U+3655	㙕	tuwei
U+3656	㙖	tuyu
U+3657	㙗	tuwei
U+3658	㙘	tuyao
U+3659	㙙	shuitu
U+365A	㙚	tuniu
U+365B	㙛	tufu
U+365C	㙜	gaotu
U+365D	㙝	tuxie
U+365E	㙞	tunie
U+365F	㙟	tulang
U+3660	㙠	yitu
U+3661	㙡	tucong
U+3662	㙢	tuman
U+3663	㙣	tuzhang
U+3664	㙤	tuhu
U+3665	㙥	tugun
U+3666	㙦	xietu
U+3667	㙧	tuliu
U+3668	㙨	tuji
U+3669	㙩	tuliao
U+366A	㙪	tuyi
U+366B	㙫	tuji
U+366C	㙬	laitu
U+366D	㙭	tujue
U+366E	㙮	tuda
U+366F	㙯	luyun
U+3670	㙰	jietu
U+3671	㙱	haotu
U+3672	㙲	tuyong
U+3673	㙳	tugan
U+3674	㙴	tuzhan
U+3675	㙵	tutu
U+3676	㙶	ertang
U+3677	㙷	tusi
U+3678	㙸	tupu
U+3679	㙹	tumeng
U+367A	㙺	tukui
U+367B	㙻	tutu
U+367C	㙼	tutian
U+367D	㙽	tubai
U+367E	㙾	tuxue
U+367F	㙿	tuxi
U+3680	㚀	tuxi
U+3681	㚁	yaoyao
U+3682	㚂	tunang
U+3683	㚃	shiheng
U+3684	㚄	shipi
U+3685	㚅	wensheng
U+3686	㚆	erwen
U+3687	㚇	xiongwen
U+3688	㚈	xishi
U+3689	㚉	naiduo
U+368A	㚊	duohai
U+368B	㚋	duozhou
U+368C	㚌	duoguo
U+368D	㚍	duogui
U+368E	㚎	dakuang
U+368F	㚏	dacao
U+3690	㚐	dada
U+3691	㚑	jida
U+3692	㚒	daru
