U+3013F	𰄿	yidao
U+30140	𰅀	daosen
U+30141	𰅁	daoge
U+30142	𰅂	tudao
U+30143	𰅃	xifen
U+30144	𰅄	chadao
U+30145	𰅅	lelie
U+30146	𰅆	cinan
U+30147	𰅇	didao
U+30148	𰅈	miandao
U+30149	𰅉	jingli
U+3014A	𰅊	danli
U+3014B	𰅋	beili
U+3014C	𰅌	limin
U+3014D	𰅍	jiali
U+3014E	𰅎	lixing
U+3014F	𰅏	jialu
U+30150	𰅐	zimin
U+30151	𰅑	jingli
U+30152	𰅒	henli
U+30153	𰅓	jili
U+30154	𰅔	lvli
U+30155	𰅕	caoli
U+30156	𰅖	lieli
U+30157	𰅗	lili
U+30158	𰅘	zhuzong
U+30159	𰅙	nongdong
U+3015A	𰅚	jiaying
U+3015B	𰅛	baoba
U+3015C	𰅜	wukou
U+3015D	𰅝	seshao
U+3015E	𰅞	fubao
U+3015F	𰅟	baogong
U+30160	𰅠	dubao
U+30161	𰅡	caibi
U+30162	𰅢	biqian
U+30163	𰅣	kebei
U+30164	𰅤	kuanghe
U+30165	𰅥	kuangmai
U+30166	𰅦	kuangdan
U+30167	𰅧	kuangxiang
U+30168	𰅨	kuangzhan
U+30169	𰅩	kuangbei
U+3016A	𰅪	kuangzhi
U+3016B	𰅫	kuanger
U+3016C	𰅬	kuangpi
U+3016D	𰅭	bashi
U+3016E	𰅮	naishi
U+3016F	𰅯	yishi
U+30170	𰅰	shiheng
U+30171	𰅱	xiongshi
U+30172	𰅲	shishi
U+30173	𰅳	dashi
U+30174	𰅴	shida
U+30175	𰅵	bishi
U+30176	𰅶	guba
U+30177	𰅷	shizhi
U+30178	𰅸	shichang
U+30179	𰅹	zhishuang
U+3017A	𰅺	guanqian
U+3017B	𰅻	huajia
U+3017C	𰅼	banjie
U+3017D	𰅽	shencao
U+3017E	𰅾	pangsheng
U+3017F	𰅿	banpeng
U+30180	𰆀	nannan
U+30181	𰆁	shengmu
U+30182	𰆂	nannan
U+30183	𰆃	buyin
U+30184	𰆄	buchang
U+30185	𰆅	zhankou
U+30186	𰆆	bufu
U+30187	𰆇	buyou
U+30188	𰆈	butian
U+30189	𰆉	buer
U+3018A	𰆊	yishu
U+3018B	𰆋	erer
U+3018C	𰆌	rier
U+3018D	𰆍	wuer
U+3018E	𰆎	yueer
U+3018F	𰆏	zier
U+30190	𰆐	lier
U+30191	𰆑	zheer
U+30192	𰆒	qiuer
U+30193	𰆓	jiaer
U+30194	𰆔	weiluan
U+30195	𰆕	changyi
U+30196	𰆖	changyuan
U+30197	𰆗	changwen
U+30198	𰆘	changsheng
U+30199	𰆙	changlai
U+3019A	𰆚	changqian
U+3019B	𰆛	yatun
U+3019C	𰆜	changshu
U+3019D	𰆝	changfang
U+3019E	𰆞	changjiu
U+3019F	𰆟	changyue
U+301A0	𰆠	yagen
U+301A1	𰆡	yaqian
U+301A2	𰆢	yashu
U+301A3	𰆣	changyou
U+301A4	𰆤	changyin
U+301A5	𰆥	changdian
U+301A6	𰆦	changdao
U+301A7	𰆧	changju
U+301A8	𰆨	changjin
U+301A9	𰆩	changchang
U+301AA	𰆪	changquan
U+301AB	𰆫	yagai
U+301AC	𰆬	yuanyuan
U+301AD	𰆭	sifan
U+301AE	𰆮	siyuan
U+301AF	𰆯	quli
U+301B0	𰆰	renyou
U+301B1	𰆱	buyou
U+301B2	𰆲	caoyou
U+301B3	𰆳	youhua
U+301B4	𰆴	bianyou
U+301B5	𰆵	jishi
U+301B6	𰆶	youri
U+301B7	𰆷	youdao
U+301B8	𰆸	muyou
U+301B9	𰆹	youyou
U+301BA	𰆺	zhayou
U+301BB	𰆻	yougui
U+301BC	𰆼	fufu
U+301BD	𰆽	shuanggou
U+301BE	𰆾	jili
U+301BF	𰆿	congyou
U+301C0	𰇀	buyou
U+301C1	𰇁	chacan
U+301C2	𰇂	zhaoyou
U+301C3	𰇃	youzhao
U+301C4	𰇄	fufan
U+301C5	𰇅	shuangbu
U+301C6	𰇆	dieqin
U+301C7	𰇇	kouer
U+301C8	𰇈	bayi
U+301C9	𰇉	gongkou
U+301CA	𰇊	kouzhuan
U+301CB	𰇋	dankou
U+301CC	𰇌	shengkou
U+301CD	𰇍	shuangkou
U+301CE	𰇎	koudong
U+301CF	𰇏	koumu
U+301D0	𰇐	koutian
U+301D1	𰇑	cekou
U+301D2	𰇒	kouqi
U+301D3	𰇓	koushi
U+301D4	𰇔	fuchi
U+301D5	𰇕	koujia
U+301D6	𰇖	koudong
U+301D7	𰇗	koukou
U+301D8	𰇘	kouze
U+301D9	𰇙	danchi
U+301DA	𰇚	chuibu
U+301DB	𰇛	koufu
U+301DC	𰇜	koucha
U+301DD	𰇝	zhitan
U+301DE	𰇞	kouliu
U+301DF	𰇟	diankou
U+301E0	𰇠	jialun
U+301E1	𰇡	kouqi
U+301E2	𰇢	koumu
U+301E3	𰇣	kouxi
U+301E4	𰇤	shichi
U+301E5	𰇥	koumai
U+301E6	𰇦	tutun
U+301E7	𰇧	koukuai
U+301E8	𰇨	zhichi
U+301E9	𰇩	beikou
U+301EA	𰇪	kouzhong
U+301EB	𰇫	kouba
U+301EC	𰇬	kouluan
U+301ED	𰇭	ankou
U+301EE	𰇮	jihe
U+301EF	𰇯	nakou
U+301F0	𰇰	kouzhuan
U+301F1	𰇱	haohou
U+301F2	𰇲	koutan
U+301F3	𰇳	koutu
U+301F4	𰇴	heli
U+301F5	𰇵	kousuo
U+301F6	𰇶	kougan
U+301F7	𰇷	koufang
U+301F8	𰇸	koumang
U+301F9	𰇹	koufa
U+301FA	𰇺	gengkou
U+301FB	𰇻	koucheng
U+301FC	𰇼	koucan
U+301FD	𰇽	koushi
U+301FE	𰇾	sitong
U+301FF	𰇿	douchi
U+30200	𰈀	zouchi
U+30201	𰈁	koutiao
U+30202	𰈂	kouzhi
U+30203	𰈃	kouzhi
U+30204	𰈄	koushi
U+30205	𰈅	huichi
U+30206	𰈆	koulan
U+30207	𰈇	kouchang
U+30208	𰈈	koujin
U+30209	𰈉	koubei
U+3020A	𰈊	koudian
U+3020B	𰈋	koudu
U+3020C	𰈌	shachi
U+3020D	𰈍	kouqin
U+3020E	𰈎	kouxiao
U+3020F	𰈏	kouying
U+30210	𰈐	kounao
U+30211	𰈑	qichi
U+30212	𰈒	kouxin
U+30213	𰈓	koujian
U+30214	𰈔	koushi
U+30215	𰈕	suochi
U+30216	𰈖	feichi
U+30217	𰈗	zhichi
U+30218	𰈘	kouxu
U+30219	𰈙	kouhang
U+3021A	𰈚	koubin
U+3021B	𰈛	lianghou
U+3021C	𰈜	chuxiang
U+3021D	𰈝	koubei
U+3021E	𰈞	jiaozheng
U+3021F	𰈟	tuntun
U+30220	𰈠	xinchi
U+30221	𰈡	koubi
U+30222	𰈢	koudan
U+30223	𰈣	kouyue
U+30224	𰈤	kouli
U+30225	𰈥	koutuo
U+30226	𰈦	kouhe
U+30227	𰈧	chuankou
U+30228	𰈨	koufeng
U+30229	𰈩	tunzhou
U+3022A	𰈪	kouhuo
U+3022B	𰈫	henggu
U+3022C	𰈬	kouni
U+3022D	𰈭	kouhuo
U+3022E	𰈮	kouge
U+3022F	𰈯	kouxian
U+30230	𰈰	kounuan
U+30231	𰈱	kouqian
U+30232	𰈲	koutie
U+30233	𰈳	fangjiong
U+30234	𰈴	machi
U+30235	𰈵	gaichi
U+30236	𰈶	koufu
U+30237	𰈷	duchi
U+30238	𰈸	kouju
U+30239	𰈹	kouxin
U+3023A	𰈺	jikou
U+3023B	𰈻	danbao
U+3023C	𰈼	kouling
U+3023D	𰈽	linjie
U+3023E	𰈾	kouniao
U+3023F	𰈿	koubei
U+30240	𰉀	koujia
U+30241	𰉁	kouyan
U+30242	𰉂	koudi
U+30243	𰉃	koubao
U+30244	𰉄	kouzan
U+30245	𰉅	kougang
U+30246	𰉆	kouning
U+30247	𰉇	xiken
