U+2A837	𪠷	shikou
U+2A838	𪠸	koule
U+2A839	𪠹	dianfou
U+2A83A	𪠺	kouzhi
U+2A83B	𪠻	kouliu
U+2A83C	𪠼	kourou
U+2A83D	𪠽	koudang
U+2A83E	𪠾	kouzhou
U+2A83F	𪠿	kouzhu
U+2A840	𪡀	kouqiao
U+2A841	𪡁	kouchong
U+2A842	𪡂	koumou
U+2A843	𪡃	koumai
U+2A844	𪡄	kouxia
U+2A845	𪡅	wangkou
U+2A846	𪡆	koujin
U+2A847	𪡇	kouni
U+2A848	𪡈	koubo
U+2A849	𪡉	lvge
U+2A84A	𪡊	kouzhi
U+2A84B	𪡋	kouqian
U+2A84C	𪡌	cikou
U+2A84D	𪡍	linge
U+2A84E	𪡎	lingling
U+2A84F	𪡏	koulian
U+2A850	𪡐	youhui
U+2A851	𪡑	keru
U+2A852	𪡒	kouxing
U+2A853	𪡓	koukun
U+2A854	𪡔	koucao
U+2A855	𪡕	wenwu
U+2A856	𪡖	shiyin
U+2A857	𪡗	kouxin
U+2A858	𪡘	yaoxun
U+2A859	𪡙	kouji
U+2A85A	𪡚	kousheng
U+2A85B	𪡛	kouke
U+2A85C	𪡜	gudui
U+2A85D	𪡝	kouxiang
U+2A85E	𪡞	kougui
U+2A85F	𪡟	koujun
U+2A860	𪡠	kouquan
U+2A861	𪡡	kouyan
U+2A862	𪡢	kouchuan
U+2A863	𪡣	kouyou
U+2A864	𪡤	paikou
U+2A865	𪡥	kouhong
U+2A866	𪡦	kouliao
U+2A867	𪡧	kouqiu
U+2A868	𪡨	koushi
U+2A869	𪡩	koutan
U+2A86A	𪡪	chenkou
U+2A86B	𪡫	kouyuan
U+2A86C	𪡬	baigao
U+2A86D	𪡭	koupei
U+2A86E	𪡮	koucun
U+2A86F	𪡯	yuanmen
U+2A870	𪡰	kouji
U+2A871	𪡱	kouhao
U+2A872	𪡲	koutian
U+2A873	𪡳	poutai
U+2A874	𪡴	kouji
U+2A875	𪡵	koujuan
