U+2B9B6	𫦶	nanlao
U+2B9B7	𫦷	heli
U+2B9B8	𫦸	laoli
U+2B9B9	𫦹	jiajia
U+2B9BA	𫦺	sili
U+2B9BB	𫦻	nanjie
U+2B9BC	𫦼	dili
U+2B9BD	𫦽	qinsheng
U+2B9BE	𫦾	xueli
U+2B9BF	𫦿	dongdong
U+2B9C0	𫧀	baotu
U+2B9C1	𫧁	baochuan
U+2B9C2	𫧂	gaoshao
U+2B9C3	𫧃	wuhui
U+2B9C4	𫧄	baozhen
U+2B9C5	𫧅	baosi
U+2B9C6	𫧆	baosi
U+2B9C7	𫧇	bibi
U+2B9C8	𫧈	shenbi
U+2B9C9	𫧉	daobi
U+2B9CA	𫧊	yaobi
U+2B9CB	𫧋	kuangkuang
U+2B9CC	𫧌	kuangda
U+2B9CD	𫧍	kuangri
U+2B9CE	𫧎	kuangzhi
U+2B9CF	𫧏	kuangcong
U+2B9D0	𫧐	kuangmu
U+2B9D1	𫧑	kuanggen
U+2B9D2	𫧒	kuangtong
U+2B9D3	𫧓	kuangfu
U+2B9D4	𫧔	dianzhuang
U+2B9D5	𫧕	yixiong
U+2B9D6	𫧖	kuanghuang
U+2B9D7	𫧗	kuangpin
U+2B9D8	𫧘	kuangyao
U+2B9D9	𫧙	kuangyu
U+2B9DA	𫧚	kuangfu
U+2B9DB	𫧛	kuangda
U+2B9DC	𫧜	qudi
U+2B9DD	𫧝	kuanggong
U+2B9DE	𫧞	nushi
U+2B9DF	𫧟	banyi
U+2B9E0	𫧠	yaoshi
U+2B9E1	𫧡	gufeng
U+2B9E2	𫧢	qianqian
U+2B9E3	𫧣	nange
U+2B9E4	𫧤	shizhuan
U+2B9E5	𫧥	shiman
U+2B9E6	𫧦	lvge
U+2B9E7	𫧧	liansheng
U+2B9E8	𫧨	huiyun
U+2B9E9	𫧩	zhuowen
U+2B9EA	𫧪	shengnong
U+2B9EB	𫧫	suokou
U+2B9EC	𫧬	wuzhu
U+2B9ED	𫧭	zhuozao
U+2B9EE	𫧮	maibu
U+2B9EF	𫧯	zhannei
U+2B9F0	𫧰	buhu
U+2B9F1	𫧱	kake
U+2B9F2	𫧲	kahong
U+2B9F3	𫧳	kahuo
U+2B9F4	𫧴	zhanzhuo
U+2B9F5	𫧵	kaye
U+2B9F6	𫧶	kajing
U+2B9F7	𫧷	luchan
U+2B9F8	𫧸	zhendeng
U+2B9F9	𫧹	dinger
U+2B9FA	𫧺	rener
U+2B9FB	𫧻	maohe
U+2B9FC	𫧼	luanguan
U+2B9FD	𫧽	henger
U+2B9FE	𫧾	luanzhuang
U+2B9FF	𫧿	luanmai
U+2BA00	𫨀	zhaoji
U+2BA01	𫨁	luoer
U+2BA02	𫨂	changjin
U+2BA03	𫨃	changwei
U+2BA04	𫨄	changbian
U+2BA05	𫨅	changbai
U+2BA06	𫨆	changjia
U+2BA07	𫨇	changyang
U+2BA08	𫨈	changyou
U+2BA09	𫨉	changjin
U+2BA0A	𫨊	changgu
U+2BA0B	𫨋	changshang
U+2BA0C	𫨌	changye
U+2BA0D	𫨍	changjin
U+2BA0E	𫨎	zewo
U+2BA0F	𫨏	changyin
U+2BA10	𫨐	changhuo
U+2BA11	𫨑	changma
U+2BA12	𫨒	changyou
U+2BA13	𫨓	changyi
U+2BA14	𫨔	changtu
U+2BA15	𫨕	changban
U+2BA16	𫨖	changdao
U+2BA17	𫨗	changri
U+2BA18	𫨘	changcao
U+2BA19	𫨙	changru
U+2BA1A	𫨚	changbu
U+2BA1B	𫨛	changkou
U+2BA1C	𫨜	changyin
U+2BA1D	𫨝	changjin
U+2BA1E	𫨞	changzhi
U+2BA1F	𫨟	changri
U+2BA20	𫨠	changyong
U+2BA21	𫨡	changzhui
U+2BA22	𫨢	changsan
U+2BA23	𫨣	changding
U+2BA24	𫨤	changjin
U+2BA25	𫨥	yanqi
U+2BA26	𫨦	sibu
U+2BA27	𫨧	sidiao
U+2BA28	𫨨	gengsi
U+2BA29	𫨩	taibi
U+2BA2A	𫨪	sisi
U+2BA2B	𫨫	sizhen
U+2BA2C	𫨬	qulai
U+2BA2D	𫨭	quyi
U+2BA2E	𫨮	qushe
U+2BA2F	𫨯	qubei
U+2BA30	𫨰	beiqu
U+2BA31	𫨱	puqu
U+2BA32	𫨲	kaoyou
U+2BA33	𫨳	danyou
U+2BA34	𫨴	weiyou
U+2BA35	𫨵	wuyou
U+2BA36	𫨶	qieyou
U+2BA37	𫨷	baiyou
U+2BA38	𫨸	shiyou
U+2BA39	𫨹	shuangpi
U+2BA3A	𫨺	zhiyou
U+2BA3B	𫨻	yishu
U+2BA3C	𫨼	kuangyou
U+2BA3D	𫨽	dongyou
U+2BA3E	𫨾	yayou
U+2BA3F	𫨿	xiangyou
U+2BA40	𫩀	muyou
U+2BA41	𫩁	jiyou
U+2BA42	𫩂	eryou
U+2BA43	𫩃	shoubi
U+2BA44	𫩄	zhuanshou
U+2BA45	𫩅	shuangzu
U+2BA46	𫩆	liyou
U+2BA47	𫩇	zhuiyou
U+2BA48	𫩈	xinyou
U+2BA49	𫩉	liqu
U+2BA4A	𫩊	yinyou
U+2BA4B	𫩋	caoba
U+2BA4C	𫩌	yiyou
U+2BA4D	𫩍	fanlei
U+2BA4E	𫩎	lunyou
U+2BA4F	𫩏	koushu
U+2BA50	𫩐	koukao
U+2BA51	𫩑	hengkou
U+2BA52	𫩒	koujin
U+2BA53	𫩓	kouji
U+2BA54	𫩔	kouwang
U+2BA55	𫩕	kouguang
U+2BA56	𫩖	koumen
U+2BA57	𫩗	koucha
U+2BA58	𫩘	kouzhong
U+2BA59	𫩙	lvyi
U+2BA5A	𫩚	kougang
U+2BA5B	𫩛	koucong
U+2BA5C	𫩜	kouzhao
U+2BA5D	𫩝	kouzhi
U+2BA5E	𫩞	taidiao
U+2BA5F	𫩟	kouqiao
U+2BA60	𫩠	xiaokou
U+2BA61	𫩡	koubei
U+2BA62	𫩢	koushi
U+2BA63	𫩣	yangkou
U+2BA64	𫩤	kouye
U+2BA65	𫩥	koujiu
U+2BA66	𫩦	kouao
U+2BA67	𫩧	lingkou
U+2BA68	𫩨	yuankou
U+2BA69	𫩩	kouchu
U+2BA6A	𫩪	koulan
U+2BA6B	𫩫	kouyan
U+2BA6C	𫩬	fengkou
U+2BA6D	𫩭	kouzao
U+2BA6E	𫩮	kouchong
U+2BA6F	𫩯	kouqi
U+2BA70	𫩰	koudou
U+2BA71	𫩱	kouxian
U+2BA72	𫩲	kouhou
U+2BA73	𫩳	kouwei
U+2BA74	𫩴	kouduo
U+2BA75	𫩵	kouli
U+2BA76	𫩶	likou
U+2BA77	𫩷	kounao
U+2BA78	𫩸	koubian
U+2BA79	𫩹	kousi
U+2BA7A	𫩺	koujin
