U+2F9C4	衣	erdian
U+2F9C5	𧙧	yikai
U+2F9C6	裗	yiliu
U+2F9C7	裞	yidui
U+2F9C8	䘵	yilu
U+2F9C9	裺	yiyan
U+2F9CA	㒻	rijian
U+2F9CB	𧢮	lijian
U+2F9CC	𧥦	yankui
U+2F9CD	䚾	yanwang
U+2F9CE	䛇	yankou
U+2F9CF	誠	yancheng
U+2F9D0	諭	yanyu
U+2F9D1	變	luanwen
U+2F9D2	豕	yidian
U+2F9D3	𧲨	zhikai
U+2F9D4	貫	mubei
U+2F9D5	賁	huibei
U+2F9D6	贛	zhangbei
U+2F9D7	起	zouji
U+2F9D8	𧼯	zouyu
U+2F9D9	𠠄	zouxiao
U+2F9DA	跋	zuba
U+2F9DB	趼	zukai
U+2F9DC	跰	zubing
U+2F9DD	𠣞	baoche
U+2F9DE	軔	cheren
U+2F9DF	輸	cheyu
U+2F9E0	𨗒	zouren
U+2F9E1	𨗭	zoutu
U+2F9E2	邔	yier
U+2F9E3	郱	binger
U+2F9E4	鄑	jiner
U+2F9E5	𨜮	pieer
U+2F9E6	鄛	chaoer
U+2F9E7	鈸	jinba
U+2F9E8	鋗	jinyuan
U+2F9E9	鋘	jinwu
U+2F9EA	鉼	jinbing
U+2F9EB	鏹	jinqiang
U+2F9EC	鐕	jinri
U+2F9ED	𨯺	jinhuo
U+2F9EE	開	menkai
U+2F9EF	䦕	menbing
U+2F9F0	閷	shashan
U+2F9F1	𨵷	menwen
U+2F9F2	䧦	erwei
U+2F9F3	雃	kaizhui
U+2F9F4	嶲	shanjuan
U+2F9F5	霣	yuyuan
U+2F9F6	𩅅	yubing
U+2F9F7	𩈚	mianbing
U+2F9F8	䩮	geshui
U+2F9F9	䩶	gechong
U+2F9FA	韠	weibi
U+2F9FB	𩐊	fujiu
U+2F9FC	䪲	wuye
U+2F9FD	𩒖	kaiye
U+2F9FE	頋	eye
U+2F9FF	頋	eye
U+2FA00	頩	bingye
U+2FA01	𩖶	fengshu
U+2FA02	飢	shier
U+2FA03	䬳	shiban
U+2FA04	餩	shihai
U+2FA05	馧	xiangwen
U+2FA06	駂	bima
U+2FA07	駾	madui
U+2FA08	䯎	gugan
U+2FA09	𩬰	biaogong
U+2FA0A	鬒	biaozhen
U+2FA0B	鱀	jiyu
U+2FA0C	鳽	kainiao
U+2FA0D	䳎	jiuniao
U+2FA0E	䳭	jiniao
U+2FA0F	鵧	bingniao
U+2FA10	𪃎	yuniao
U+2FA11	䳸	maniao
U+2FA12	𪄅	shaniao
U+2FA13	𪈎	lainiao
U+2FA14	𪊑	lukai
U+2FA15	麻	guanglin
U+2FA16	䵖	yishu
U+2FA17	黹	yexiao
U+2FA18	黾	koudian
U+2FA19	鼅	zhimian
U+2FA1A	鼏	kuangding
U+2FA1B	鼖	huigu
U+2FA1C	鼻	zibi
U+2FA1D	𪘀	chibing
